Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
LTC,2020-03-14,37.4595293546,33.3920056199,40.4738170695,24.794460576
LTC,2020-03-15,35.1188407764,37.4615348119,38.740638075,34.5625169892
LTC,2020-03-16,36.2219067025,35.1114401136,38.8660896221,33.8931373423
LTC,2020-03-17,32.0531945034,36.2088101145,36.7497611487,29.4090212779
LTC,2020-03-18,35.0147359485,32.0529280534,36.0631536831,31.9174856732
LTC,2020-03-19,34.3435455918,35.0101821122,35.0637989207,32.511942452
LTC,2020-03-20,40.327951278,34.3303653637,40.8898966846,34.1519126069
LTC,2020-03-21,37.7843555798,40.318916066,43.8705910149,34.1527045921
LTC,2020-03-22,38.4741258892,37.7838055967,39.9328693538,36.4176428775
LTC,2020-03-23,35.7839770381,38.4739831079,39.7906028486,35.2560524052
LTC,2020-03-24,38.834544414,35.438573651,40.0747583347,34.6400111329
LTC,2020-03-25,40.7080023226,38.8418495497,40.8554845673,38.4101286159
LTC,2020-03-26,39.2240219986,40.7006383995,41.1338448645,38.3128844974
LTC,2020-03-27,39.635554561,39.2870665543,40.018377972,38.5705290446
LTC,2020-03-28,40.0254986586,39.6297440424,41.3311205059,39.245823717
LTC,2020-03-29,38.8931889233,40.025560642,40.1154378145,36.734895927
LTC,2020-03-30,37.4117341465,38.8954648616,39.1903619279,37.0619537323
LTC,2020-03-31,39.2880659668,37.1160018302,39.7496017031,37.1073163932
LTC,2020-04-01,39.2887004356,39.2763301043,39.375601994,38.4984041375
LTC,2020-04-02,38.9603822957,39.2992004359,39.3861336392,37.2125644763
LTC,2020-04-03,40.2204002882,38.9607107984,42.9414961756,38.8483615179
LTC,2020-04-04,40.6883905302,39.9243005802,41.3099058033,39.7213623205
LTC,2020-04-05,40.7355826143,40.6875153558,41.2062967553,40.0239321867
LTC,2020-04-06,40.4931426111,40.8039263516,41.0684633785,39.9497002565
LTC,2020-04-07,44.5021301337,40.4948950079,44.9939345931,40.3503513595
LTC,2020-04-08,44.8941161863,44.4952209434,47.6750112434,43.7726081328
LTC,2020-04-09,46.7772325966,44.8912786125,47.2030711903,44.317205114
LTC,2020-04-10,46.7802191725,46.7820699003,46.8756866711,44.8134814839
LTC,2020-04-11,42.2797772825,46.7801161283,46.8180557049,40.9977475811
LTC,2020-04-12,42.4655164674,42.3274258942,43.2098873832,41.5283536318
LTC,2020-04-13,42.7156591421,42.4654928086,43.732408733,41.943882327
LTC,2020-04-14,41.5244509245,42.7156609015,42.9037205999,39.6631116492
LTC,2020-04-15,41.2233768475,41.5330081846,41.9412269897,40.5998111109
LTC,2020-04-16,40.1966432538,41.2218339214,41.8069183128,40.1595396862
LTC,2020-04-17,42.9923479459,39.2959426799,43.7342336467,37.9990889039
LTC,2020-04-18,42.5008269819,42.9938849712,43.086233412,41.6985504919
LTC,2020-04-19,44.1409717555,42.5002317627,44.491405006,42.126512383
LTC,2020-04-20,42.8753058696,44.1423071038,44.331412489,41.657203297
LTC,2020-04-21,40.6759065143,42.8747934242,43.2958408767,39.6170129679
LTC,2020-04-22,40.9598435287,40.6759003555,41.3790506054,40.1494722682
LTC,2020-04-23,41.7675723646,40.9598428996,42.3896782536,40.3653179602
LTC,2020-04-24,43.5052097744,41.7675942758,43.8933665441,41.0000861428
LTC,2020-04-25,44.3057674461,42.9780098114,44.9713577402,42.8804349664
LTC,2020-04-26,44.3504290739,44.3055011463,45.6196732925,43.9227210307
LTC,2020-04-27,44.262148977,44.3442067301,45.4143794599,43.8621214604
LTC,2020-04-28,44.5696284201,44.262246429,45.2579465292,43.2863390798
LTC,2020-04-29,45.2966776919,44.5498742591,45.3424717139,43.5318307387
LTC,2020-04-30,48.6181548583,45.3069937607,50.044154481,45.2259523981
LTC,2020-05-01,46.9746496063,48.6060652785,50.8793288265,45.795807862
LTC,2020-05-02,47.1365728633,46.9774511653,48.3430402744,46.2106765138
LTC,2020-05-03,49.3709029036,47.1452753357,49.6775703172,46.8970171947
LTC,2020-05-04,47.9781959569,49.3599910051,50.1372316093,46.7907621983
LTC,2020-05-05,47.0222543076,47.9841577352,48.2141550092,45.2189690171
LTC,2020-05-06,46.6050552841,47.0224597036,47.7863842797,45.8095627158
LTC,2020-05-07,46.6549974254,46.5921043199,47.6302133261,46.1857539453
LTC,2020-05-08,47.5845531024,46.6542652747,48.2478367649,44.4967414475
LTC,2020-05-09,47.9944387736,47.5924394516,48.5845480587,46.4258750179
LTC,2020-05-10,47.2087130758,47.9944348959,49.2274249574,46.9827680629
LTC,2020-05-11,42.1149805198,47.2078346438,47.4747098159,39.740638264
LTC,2020-05-12,41.3966726737,42.1095484693,42.9326643808,39.4456174742
LTC,2020-05-13,42.2157636522,41.3917244814,42.8861577192,41.1918396319
LTC,2020-05-14,43.3110063084,42.2389369028,43.796768905,42.0134383899
LTC,2020-05-15,44.0827571966,43.3108580058,44.4094927027,42.2995921657
LTC,2020-05-16,43.0365161715,44.0209397217,44.1353450706,41.9420995716
LTC,2020-05-17,43.3745179701,43.0404447923,43.8520946527,42.5123347491
LTC,2020-05-18,43.7515806145,43.3735268773,44.4637942528,43.118200664
LTC,2020-05-19,45.2169126424,43.6795259573,46.639527594,43.6484825937
LTC,2020-05-20,45.4804936478,45.217800362,45.6688761542,44.120445948
LTC,2020-05-21,44.183017986,45.4796174856,46.1391380372,43.1985442525
LTC,2020-05-22,42.9413874715,44.1870064884,44.6012267508,41.6432886783
LTC,2020-05-23,44.3967786218,42.9364603822,44.6707539844,42.3678743153
LTC,2020-05-24,44.0871367766,44.3967786411,44.7286412657,43.7194462822
LTC,2020-05-25,43.1361679505,44.0865844862,44.5446709434,42.5220426859
LTC,2020-05-26,42.9145325894,43.1361266826,43.2875381681,41.7453441402
LTC,2020-05-27,42.3626318998,42.918810296,43.0729447625,41.8075530755
LTC,2020-05-28,43.5258050642,42.3626318996,44.0080839997,42.1896330702
LTC,2020-05-29,44.3548229759,43.5256087614,44.5822129978,41.8017458664
LTC,2020-05-30,44.5000464422,44.3551650896,45.271390699,44.1531202873
LTC,2020-05-31,47.7051237754,44.5163021689,48.0138671889,44.1918237556
LTC,2020-06-01,45.4912271708,47.7092834413,47.7802459476,45.1244552648
LTC,2020-06-02,48.7437635489,45.4906115409,48.8368667837,45.3554757628
LTC,2020-06-03,45.9586005371,48.7430521666,49.9548477822,44.6099356609
LTC,2020-06-04,47.1508071843,45.9586912352,47.4680115575,45.3083636211
LTC,2020-06-05,47.4583139385,47.1565031959,48.0930280352,46.3343693168
LTC,2020-06-06,47.0012526353,47.4590599269,47.9835416908,46.4616202156
LTC,2020-06-07,46.8183596558,47.0007359143,47.2187199292,46.1633677202
LTC,2020-06-08,46.5574641277,46.8183592645,46.9701666657,45.1699533131
LTC,2020-06-09,46.4502054073,46.5574700574,46.7719904738,45.9978794612
LTC,2020-06-10,46.0296313889,46.4366146335,46.8358734339,43.4132262494
LTC,2020-06-11,46.6408659393,46.0298767443,47.1301678056,45.6693117969
LTC,2020-06-12,43.1541870736,46.6408670787,46.9434244693,42.0914281509
LTC,2020-06-13,44.6523115529,43.1548899433,45.3584166235,42.8098444371
LTC,2020-06-14,45.0843430859,44.6484199117,45.2152070973,44.3078996802
LTC,2020-06-15,44.1493184187,45.0843431776,45.1285227529,43.5459040633
LTC,2020-06-16,43.825085066,44.148911591,44.1491044844,41.7535900603
LTC,2020-06-17,43.7957488906,43.825483728,44.1871042581,43.4071045228
LTC,2020-06-18,44.0205308798,43.7954601726,44.9988321296,43.0145866563
LTC,2020-06-19,43.5149331584,44.0203565343,44.1614346872,42.8601888862
LTC,2020-06-20,42.7917168758,43.5106067299,43.6676928822,42.6230947315
LTC,2020-06-21,43.5566331974,42.7897971289,43.8112369157,42.284184898
LTC,2020-06-22,42.9525307231,43.5591414468,43.7972223295,42.8709239012
LTC,2020-06-23,44.3323367298,42.9518719913,44.6396042463,42.9147519201
LTC,2020-06-24,44.0725569797,44.332663218,44.4904638003,43.9062889619
LTC,2020-06-25,42.68349847,44.0725569797,44.6435807512,42.1178559269
LTC,2020-06-26,42.3548905527,42.6833473079,42.9783912211,41.6728018777
LTC,2020-06-27,43.1705752529,42.3505574047,43.559573295,41.3408179703
LTC,2020-06-28,41.191817988,43.1703757859,43.1726059598,39.2260552503
LTC,2020-06-29,41.2579678591,41.1875374005,42.012302158,40.4835904149
LTC,2020-06-30,41.9104675677,41.2603094362,42.2422627041,40.5951916937
LTC,2020-07-01,41.2518351378,41.9104641887,42.0293979513,40.7506018541
LTC,2020-07-02,41.8108674712,41.1967331613,42.03343117,40.9993918472
LTC,2020-07-03,40.9577202239,41.8082511565,41.9134356692,40.3581753318
LTC,2020-07-04,41.260701664,41.0832507977,41.7135714496,40.9478523076
LTC,2020-07-05,42.022264586,41.1774535494,42.1959963118,41.1087255967
LTC,2020-07-06,41.4430884882,42.1284578787,42.2142211813,40.7864334485
LTC,2020-07-07,43.7158224385,41.6171760101,44.1176264464,41.5374682299
LTC,2020-07-08,43.2631428504,44.0645700728,44.4568149609,43.1168008855
LTC,2020-07-09,45.5615400324,43.4122183368,45.5831950738,43.1356627209
LTC,2020-07-10,44.3484153638,45.3731516463,45.8833790713,43.6296380285
LTC,2020-07-11,44.1784686862,44.3657142227,44.5942052177,43.5024331819
LTC,2020-07-12,44.4477309128,44.3369001306,44.7090292584,43.9214668007
LTC,2020-07-13,44.6489654566,44.7324320208,45.2814323061,43.7832275649
LTC,2020-07-14,43.8928340174,44.7378584073,45.5827409353,42.7280279139
LTC,2020-07-15,43.7304050793,43.9222079709,43.9313229387,42.9059853619
LTC,2020-07-16,43.3004228838,43.91097752,44.0394376402,42.9873811304
LTC,2020-07-17,42.0151368947,43.2992139356,43.4476297878,40.9547911964
LTC,2020-07-18,41.9094028733,42.0777452004,42.4450370148,41.6965440404
LTC,2020-07-19,42.4921190638,41.9127576316,42.9030547499,41.7680172495
LTC,2020-07-20,42.5489426109,42.5044097951,42.6501941174,41.9082303069
LTC,2020-07-21,41.9118644557,42.660456101,42.8344142297,41.445053491
LTC,2020-07-22,43.5965130347,41.9802188122,44.1370633082,41.9172498461
LTC,2020-07-23,44.6108418051,43.8233523121,44.6322295264,43.2926536916
LTC,2020-07-24,45.140551411,45.0350274386,45.6669403833,44.609749745
LTC,2020-07-25,44.3511074646,45.0035570273,45.0225848734,44.0024505843
LTC,2020-07-26,49.2877942492,44.2056981131,49.5064954055,44.1404064955
LTC,2020-07-27,48.2440075269,49.2108135317,50.4109456447,47.6762704
LTC,2020-07-28,55.3218383162,48.1311587095,55.8800892928,46.9596025209
LTC,2020-07-29,55.5350417328,53.3414393978,57.9742234374,51.7331207205
LTC,2020-07-30,55.9249167011,55.8601089068,56.9625231381,55.0326062651
LTC,2020-07-31,57.7249512979,55.2607960484,58.6412897801,54.0215446605
LTC,2020-08-01,58.3991578423,56.7967712544,59.3058248071,55.8804125682
LTC,2020-08-02,61.4674515667,58.227985548,62.3590788224,57.6577342914
LTC,2020-08-03,57.2990113531,61.7521586774,64.9683880405,52.4432581505
LTC,2020-08-04,58.5015239952,56.7690731036,60.0673471763,55.7998659223
LTC,2020-08-05,57.8267491532,58.5486824742,59.4484861234,56.5165012057
LTC,2020-08-06,58.4797178941,57.6351573103,59.8388688479,56.8102976294
LTC,2020-08-07,59.3206901421,58.9497775338,60.7245779079,57.7864115766
LTC,2020-08-08,57.6617010189,59.1248380787,61.1284579021,54.8288454865
LTC,2020-08-09,57.9912796462,57.2493471477,58.572889447,56.6612997282
LTC,2020-08-10,56.7642728705,58.4801246527,58.645792684,56.1334367747
LTC,2020-08-11,58.2775470793,57.0090619913,59.5154538841,56.6730805074
LTC,2020-08-12,53.8416562802,58.3418692256,59.7072060995,52.477222072
LTC,2020-08-13,54.3779814405,54.1484338138,55.0805494271,51.6364954781
LTC,2020-08-14,57.2321028112,54.5487184398,57.3104307227,51.997778034
LTC,2020-08-15,56.9573052455,57.1696060301,57.9454464575,55.9520240472
LTC,2020-08-16,60.2820707599,56.8660841413,60.9063301283,56.6411706025
LTC,2020-08-17,62.2281310581,59.9113635858,62.9499598846,58.1259259375
LTC,2020-08-18,68.0908556883,63.9165350013,68.9655656254,61.5194990077
LTC,2020-08-19,66.7590484143,67.2911046863,68.4404517677,63.5777790103
LTC,2020-08-20,61.5523615946,65.4907333297,67.1689355219,58.9277256373
LTC,2020-08-21,62.4296524639,62.1509852872,63.6895551587,61.0774862263
LTC,2020-08-22,59.9385429228,62.869954367,63.8944490333,59.2664752573
LTC,2020-08-23,60.2817029326,59.2117529063,60.541172587,57.8621958585
LTC,2020-08-24,60.6659410228,60.2799826692,61.6686164528,58.1211218278
LTC,2020-08-25,62.0530228978,60.6153511304,63.0673565631,60.0715571789
LTC,2020-08-26,58.5293851331,62.0841045687,62.3236641419,56.6776733031
LTC,2020-08-27,58.1888228248,58.4151065388,59.1561981184,57.0965690313
LTC,2020-08-28,55.6954456286,58.1301440745,59.2742721611,54.1033605764
LTC,2020-08-29,56.6793177883,56.151711181,58.2924338818,55.4046239312
LTC,2020-08-30,57.2925957697,57.446647841,58.2203728614,57.0809464421
LTC,2020-08-31,61.939855593,57.0363927126,62.5119184348,56.9977562258
LTC,2020-09-01,61.086974384,62.8986530772,63.6799302099,60.6361227398
LTC,2020-09-02,63.3622313076,60.9786708781,64.3450540193,59.8128801494
LTC,2020-09-03,58.4432228646,62.6994603054,63.1888184278,56.7462072113
LTC,2020-09-04,52.9810793746,58.1592081548,58.6735846669,52.0432282537
LTC,2020-09-05,51.1637644005,47.9169670825,52.4840578568,46.8858759771
LTC,2020-09-06,46.7397104542,50.4381446243,51.3706257656,45.6662877402
LTC,2020-09-07,47.6500945172,47.8327662472,49.2120686301,46.3984215518
LTC,2020-09-08,48.6888168587,47.9536900148,48.7349140624,45.3823947411
LTC,2020-09-09,46.8515097566,48.8556783502,49.3689764398,46.0849064146
LTC,2020-09-10,48.0790711119,47.5023934114,48.8490096744,46.5786817034
LTC,2020-09-11,48.6404495429,47.8636279718,49.4291430488,47.8285993485
LTC,2020-09-12,48.9855435829,48.7034286587,49.4281265226,47.4762351029
LTC,2020-09-13,50.887332266,49.0164352928,51.3191111913,48.4840996693
LTC,2020-09-14,48.0200297477,50.8488302557,51.038647856,47.437320468
LTC,2020-09-15,48.7035912907,48.1715728443,49.6941014239,47.4287616352
LTC,2020-09-16,48.6735171283,49.1205460217,50.2160175548,48.4277044074
LTC,2020-09-17,48.3196561374,48.3374804318,48.7844304708,47.0777551069
LTC,2020-09-18,49.0223588225,47.7937563122,49.5437054114,47.7110276907
LTC,2020-09-19,48.2811210855,48.8874977001,49.068276849,47.5460371568
LTC,2020-09-20,48.385640084,48.5487813863,49.0032492177,48.022969226
LTC,2020-09-21,46.5622292594,48.5315069873,48.5315069873,46.2277344143
LTC,2020-09-22,43.7066079926,47.1076034268,47.6497038475,41.723204441
LTC,2020-09-23,44.4602886538,43.1857243741,44.8036233157,42.8243693931
LTC,2020-09-24,43.0474130349,44.4900887235,45.0878646522,42.8486721042
LTC,2020-09-25,44.7788441405,42.9667953681,45.2224362716,42.6038811831
LTC,2020-09-26,46.3085260339,44.9250530777,46.5587022029,44.1379555028
LTC,2020-09-27,46.0346184635,46.0232585789,46.5526771735,45.1719255952
LTC,2020-09-28,45.9877830399,46.053213625,46.5531778033,44.6152744757
LTC,2020-09-29,46.1948623877,46.0594635344,47.1245419099,46.0415643871
LTC,2020-09-30,45.4467350692,45.2110048546,45.7813041673,44.9768881382
LTC,2020-10-01,46.0611056688,45.6995344381,46.7047390749,45.4830674382
LTC,2020-10-02,46.0801378078,46.2507137622,48.5211309144,45.3339136992
LTC,2020-10-03,44.8762704113,46.2685060792,46.9896091097,43.3069186448
LTC,2020-10-04,45.7482437138,44.9297748756,46.0146003334,44.7758387903
LTC,2020-10-05,46.605211287,45.5777401334,46.9895564771,45.3685625606
LTC,2020-10-06,46.1156667324,46.7106134133,47.0562758645,45.588285831
LTC,2020-10-07,45.8050998699,46.3491385926,48.2315883309,45.5596706925
LTC,2020-10-08,46.4604231249,45.9728425826,46.9194594415,45.0654427246
LTC,2020-10-09,47.1784880588,46.5725768083,47.482637748,45.5207603531
LTC,2020-10-10,47.9384190927,47.2452989603,48.2231287727,46.6546996572
LTC,2020-10-11,49.3428304846,47.8154684002,50.446059333,47.7989748981
LTC,2020-10-12,50.5004528774,48.8643764916,51.2383214891,48.7484934355
LTC,2020-10-13,51.3011705542,50.5002836177,51.5258605548,49.36843149
LTC,2020-10-14,50.0162489429,50.6017565237,50.7033313132,48.9478535085
LTC,2020-10-15,49.6570274257,49.9374878953,50.8941740527,49.3506092216
LTC,2020-10-16,49.4633027071,49.8583626048,50.2902226221,49.0455052826
LTC,2020-10-17,47.733649549,49.5650729669,49.8471321747,45.7039778652
LTC,2020-10-18,46.7831143176,47.6406160124,47.671618166,46.6566434474
LTC,2020-10-19,47.5337907861,46.9486540722,47.9008805662,46.8429353784
LTC,2020-10-20,48.1723707673,47.5889693254,48.4228697606,46.8497121012
LTC,2020-10-21,46.9725808376,48.0093858931,48.3426953671,46.4448814318
LTC,2020-10-22,54.3672698349,46.9188557704,54.5156552686,46.8968078625
LTC,2020-10-23,55.1364526052,53.0642513022,56.2606327059,53.0475190236
LTC,2020-10-24,55.3591013079,54.4125861326,57.0110926813,53.4233883471
LTC,2020-10-25,58.9770681738,55.4377770024,59.6641860668,54.8731265354
LTC,2020-10-26,58.4990944463,59.2531679462,60.001964231,56.614540742
LTC,2020-10-27,56.6686216848,58.8682294918,59.3087463439,55.0340804021
LTC,2020-10-28,57.8546976632,56.8846698217,59.0070924179,56.5483797785
LTC,2020-10-29,55.6141903657,57.9523960929,60.4804397881,54.7828729251
LTC,2020-10-30,54.6230298323,55.8258874799,56.5682718394,53.4766663751
LTC,2020-10-31,54.1558489607,54.9072204647,55.7528003988,52.305736115
LTC,2020-11-01,56.0441973938,54.0787513977,56.5223002589,53.7019201785
LTC,2020-11-02,55.6263550808,55.8159970314,56.2411760977,54.3669363317
LTC,2020-11-03,54.1248756996,55.6367048834,56.7915974556,53.1469348349
LTC,2020-11-04,53.7645849943,53.868221205,54.3843465499,51.2524808073
LTC,2020-11-05,55.1695814144,53.9315015381,55.2163392127,51.7187266309
LTC,2020-11-06,59.5287869238,54.7260859912,59.7763804729,54.7260859912
LTC,2020-11-07,61.6717686528,59.0119617779,63.1635078253,58.716092582
LTC,2020-11-08,59.0383958919,63.3040324816,64.6330943725,56.9344459651
LTC,2020-11-09,60.9553497544,58.8974129974,62.0352624141,58.5870750943
LTC,2020-11-10,58.8445434668,61.0258717589,61.7999255428,57.5523633744
LTC,2020-11-11,58.2504372543,59.2391944438,59.6073938973,57.2347544574
LTC,2020-11-12,59.6159660673,57.993222203,60.5541946975,57.8997832199
LTC,2020-11-13,59.314002485,59.322556533,60.5280887669,57.6987476311
LTC,2020-11-14,65.8756116243,60.748945351,66.6416016153,60.1994564881
LTC,2020-11-15,62.9915753619,65.9631281631,66.295454495,61.7192201291
LTC,2020-11-16,62.0018663193,63.877876644,64.432167452,61.1425174121
LTC,2020-11-17,71.8335128946,62.3433619092,72.6862651413,62.1550735158
LTC,2020-11-18,76.4128560163,73.8588447671,76.4193272805,71.4735935352
LTC,2020-11-19,74.3539549897,76.3707237123,77.1317834159,69.2208371366
LTC,2020-11-20,82.4068010073,73.4631300451,83.4178985126,71.8846414322
LTC,2020-11-21,82.0462285693,81.6306003511,85.4305511369,80.1343387863
LTC,2020-11-22,85.3801859607,82.5627328107,88.3772686292,80.2648138191
LTC,2020-11-23,85.5222263251,87.0360473431,87.8086843251,80.1699652116
LTC,2020-11-24,89.0261539237,82.8081418816,89.6055533552,80.8756688741
LTC,2020-11-25,88.243559047,89.0705630396,93.3372908537,85.5814893435
LTC,2020-11-26,82.0189899715,89.2527497114,90.6889637589,81.9387853701
LTC,2020-11-27,70.9392874147,81.773422143,83.0418854134,64.626947508
LTC,2020-11-28,68.5734269746,71.1040790331,73.6079986259,65.4142694813
LTC,2020-11-29,73.7265299592,69.2544927477,74.998958986,68.4209318986
LTC,2020-11-30,79.188167593,72.7857151346,81.114298086,71.6480662819
LTC,2020-12-01,86.9197491969,78.986558824,88.4484340719,76.7887819272
LTC,2020-12-02,87.4593911862,87.6179493247,93.0278439751,79.8331486326
LTC,2020-12-03,88.9344723441,85.2188308757,90.661296671,82.9033997966
LTC,2020-12-04,88.4957062162,88.9779324973,91.3407887861,85.5716492277
LTC,2020-12-05,80.9820677599,89.081596579,89.8872129233,80.6587371322
LTC,2020-12-06,82.0964875596,79.5971260518,84.3651035368,78.733285633
LTC,2020-12-07,82.0422322539,83.1971063455,85.1973170128,80.9589932604
LTC,2020-12-08,83.3393039402,83.6246135964,86.8810785194,82.1129280403
LTC,2020-12-09,77.4373315448,83.4208251694,84.8279906537,76.801420212
LTC,2020-12-10,77.4639829829,76.7308012385,78.1675035019,72.1538998797
LTC,2020-12-11,75.2952243682,77.4688292985,77.6737188539,73.1059804609
LTC,2020-12-12,73.2491623047,74.7235288651,75.0671534964,69.9824933271
LTC,2020-12-13,77.2654375966,72.2148675356,77.6240999523,72.0654417588
LTC,2020-12-14,81.5965384378,76.7131778745,84.2784496262,75.6172644338
LTC,2020-12-15,82.0627555638,82.2038168077,82.9290405119,79.1036984098
LTC,2020-12-16,81.661733226,82.3242244423,84.8804734092,80.4569303037
LTC,2020-12-17,92.1177176265,81.3443228079,92.8757015329,78.7952996386
LTC,2020-12-18,103.284299085,93.0199601055,109.750546904,90.6427410945
LTC,2020-12-19,107.6881661189,101.0930429528,112.7458109347,99.3150338652
LTC,2020-12-20,121.654449742,109.4320730925,124.2487699113,105.4513563331
LTC,2020-12-21,114.6801234963,119.8997903848,123.1367144994,109.8550824066
LTC,2020-12-22,107.2477886899,114.6138073007,118.4697659733,100.4587049756
LTC,2020-12-23,108.7575292524,104.4664467458,113.1912126138,98.3942761691
LTC,2020-12-24,103.3558167985,114.2409581438,117.0341959738,95.425544767
LTC,2020-12-25,108.711763069,102.4181389772,109.5678652995,99.1558241574
LTC,2020-12-26,123.8290071733,111.19698506,124.974657701,108.2878158945
